scenario,name,estimator,family,meas,maneuver,detect_hz,latency_s,jitter,est_px_rms,held_px_rms,los_head_rms,los_att_rms,range_rms,range_bias,range_peak,size_rms,speed_rms,updates,rejects,steps,timeseries
s11,seed2_smooth,CV-pixel,CV,px,smooth,10.00,0.050,1,2.1858,1.6646,0.2879,0.2579,0.0000,0.0000,0.0000,0.0000,0.0000,200,0,2000,logs/auto_20260817_030358/runs/s11_CV-pixel.csv
s11,seed2_smooth,EKF,EKF,bbox,smooth,10.00,0.050,1,4.0341,1.6646,0.5279,0.4845,0.9110,0.7966,2.4973,0.0390,0.7682,200,0,2000,logs/auto_20260817_030358/runs/s11_EKF.csv
s11,seed2_smooth,UKF,UKF,bbox,smooth,10.00,0.050,1,4.6143,1.6646,0.6938,0.4744,1.5917,1.4816,3.3536,0.0640,0.8684,200,0,2000,logs/auto_20260817_030358/runs/s11_UKF.csv
s11,seed2_smooth,IMM-EKF,IMM-EKF,bbox,smooth,10.00,0.050,1,3.8096,1.6646,0.5081,0.4491,1.0007,0.8918,2.8269,0.0438,0.5816,200,0,2000,logs/auto_20260817_030358/runs/s11_IMM-EKF.csv
s11,seed2_smooth,IMM-UKF,IMM-UKF,bbox,smooth,10.00,0.050,1,4.7595,1.6646,0.7319,0.4703,0.8018,0.6548,2.4703,0.0359,0.4256,200,0,2000,logs/auto_20260817_030358/runs/s11_IMM-UKF.csv
s11,seed2_smooth,EKF-LOS,EKF,los,smooth,10.00,0.050,1,212.7219,1.6646,28.1332,4.8004,99.6187,68.1810,319.2400,0.0316,32.3356,200,62,2000,logs/auto_20260817_030358/runs/s11_EKF-LOS.csv
s11,seed2_smooth,UKF-LOS,UKF,los,smooth,10.00,0.050,1,8.9313,1.6646,1.4230,0.7958,31.5080,28.2556,57.5778,0.0316,10.5614,200,0,2000,logs/auto_20260817_030358/runs/s11_UKF-LOS.csv
s11,seed2_smooth,IMM-EKF-LOS,IMM-EKF,los,smooth,10.00,0.050,1,37.8042,1.6646,1.1214,4.9498,8.1848,6.4912,16.9403,0.0316,4.1544,200,0,2000,logs/auto_20260817_030358/runs/s11_IMM-EKF-LOS.csv
s11,seed2_smooth,IMM-UKF-LOS,IMM-UKF,los,smooth,10.00,0.050,1,7.5441,1.6646,1.1975,0.6937,13.1141,10.8009,26.2287,0.0316,7.5619,200,0,2000,logs/auto_20260817_030358/runs/s11_IMM-UKF-LOS.csv
s12,hi_jitter_jink,CV-pixel,CV,px,jink,10.00,0.050,1,4.3515,3.2834,0.5989,0.4853,0.0000,0.0000,0.0000,0.0000,0.0000,200,0,2000,logs/auto_20260817_030358/runs/s12_CV-pixel.csv
s12,hi_jitter_jink,EKF,EKF,bbox,jink,10.00,0.050,1,6.3981,3.2834,0.9278,0.6657,1.9432,1.6540,4.9023,0.0682,2.1062,200,0,2000,logs/auto_20260817_030358/runs/s12_EKF.csv
s12,hi_jitter_jink,UKF,UKF,bbox,jink,10.00,0.050,1,7.0202,3.2834,1.0682,0.6696,1.1468,0.8568,3.4086,0.0274,1.6678,200,0,2000,logs/auto_20260817_030358/runs/s12_UKF.csv
s12,hi_jitter_jink,IMM-EKF,IMM-EKF,bbox,jink,10.00,0.050,1,6.7216,3.2834,0.9617,0.7122,0.8443,0.7669,1.8279,0.0495,0.9219,200,0,2000,logs/auto_20260817_030358/runs/s12_IMM-EKF.csv
s12,hi_jitter_jink,IMM-UKF,IMM-UKF,bbox,jink,10.00,0.050,1,8.0063,3.2834,1.1564,0.8369,1.8915,1.7968,3.9585,0.1006,1.0572,200,0,2000,logs/auto_20260817_030358/runs/s12_IMM-UKF.csv
s12,hi_jitter_jink,EKF-LOS,EKF,los,jink,10.00,0.050,1,7.2240,3.2834,1.1259,0.6677,11.5731,11.2196,22.7524,0.0228,7.4567,200,0,2000,logs/auto_20260817_030358/runs/s12_EKF-LOS.csv
s12,hi_jitter_jink,UKF-LOS,UKF,los,jink,10.00,0.050,1,11.4218,3.2834,1.9407,0.8545,12.2248,11.9448,18.9927,0.0228,7.5805,200,0,2000,logs/auto_20260817_030358/runs/s12_UKF-LOS.csv
s12,hi_jitter_jink,IMM-EKF-LOS,IMM-EKF,los,jink,10.00,0.050,1,6.9037,3.2834,1.0190,0.7042,1.1805,0.9538,3.6732,0.0228,1.1990,200,0,2000,logs/auto_20260817_030358/runs/s12_IMM-EKF-LOS.csv
